#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
1256054	23291	103	116887	106617	-	RP11-61L14.5	FBXW11	ADAR	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Low TY (2014)	PUBMED:25515538	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9UKB1	B4DH70	NP_387448|NP_036432|NP_001365909|NP_001365908|NP_001365907|NP_001365906|NP_001365905|NP_001365904|NP_001365903|NP_387449	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1257797	4914	103	110969	106617	-	RP11-61L14.5	NTRK1	ADAR	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Emdal KB (2015)	PUBMED:25921289	9606	9606	High Throughput	-	-	-	-	BIOGRID	P04629	X5DR71	NP_001007793|NP_002520|NP_001012331	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1258192	10592	103	115841	106617	PRO0324	RP11-61L14.5	SMC2	ADAR	CAP-E|CAPE|SMC-2|SMC2L1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.075683005	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O95347	Q6IPS5|B7ZLZ7|B3KMB1|Q7Z2X1|Q05D74|A0A024R158|Q05BV1|A8K984	NP_006435|NP_001252531|NP_001036015|NP_001036016	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1277290	677770	103	576459	106617	-	RP11-61L14.5	SCARNA22	ADAR	ACA11	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-RNA	physical	Chu L (2012)	PUBMED:22751105	9606	9606	High Throughput	-	-	-	-	BIOGRID	-	-	-	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1415413	3428	103	109654	106617	-	RP11-61L14.5	IFI16	ADAR	IFNGIP1|PYHIN2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Diner BA (2015)	PUBMED:25693804	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q16666	-	NP_001363516|NP_001363517|NP_005522|NP_001363521|NP_001363520|NP_001363518|NP_001351796|NP_001193496	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442981	3178	103	109420	106617	-	RP11-61L14.5	HNRNPA1	ADAR	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P09651	A0A024RB53|A0A024RAZ7	NP_112420|NP_002127	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442982	4609	103	110694	106617	-	RP11-61L14.5	MYC	ADAR	MRTL|MYCC|bHLHe39|c-Myc	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P01106	-	NP_002458|NP_001341799	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442983	7517	103	113351	106617	-	RP11-61L14.5	XRCC3	ADAR	CMM6	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	O43542	Q53XC8	NP_005423|NP_001093589|NP_001093588	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442984	9782	103	115126	106617	-	RP11-61L14.5	MATR3	ADAR	ALS21|MPD2|VCPDM	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P43243	Q9H4N1|B3KM87|B4DF66	NP_001181884|NP_001181885|NP_001181883|NP_001269207|NP_954659|NP_061322	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442985	9984	103	115305	106617	-	RP11-61L14.5	THOC1	ADAR	HPR1|P84|P84N5	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q96FV9	-	NP_005122	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442986	10460	103	115723	106617	-	RP11-61L14.5	TACC3	ADAR	ERIC-1|ERIC1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q9Y6A5	-	NP_006333	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442987	54512	103	120007	106617	-	RP11-61L14.5	EXOSC4	ADAR	RRP41|RRP41A|Rrp41p|SKI6|Ski6p|hRrp41p|p12A	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q9NPD3	-	NP_061910	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442988	57187	103	121436	106617	RP5-1189B24.5	RP11-61L14.5	THOC2	ADAR	CXorf3|THO2|dJ506G2.1|hTREX120	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q8NI27	-	NP_001075019	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442989	80145	103	123138	106617	-	RP11-61L14.5	THOC7	ADAR	NIF3L1BP1|fSAP24|hTREX30	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q6I9Y2	A0A024R341|A0A024R332	NP_001272333|NP_079351|NP_001272316	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442990	93380	103	125021	106617	RP11-274K13.3	RP11-61L14.5	MMGT1	ADAR	EMC5|TMEM32	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q8N4V1	-	NP_001316929|NP_775741	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1442991	196441	103	128206	106617	-	RP11-61L14.5	ZFC3H1	ADAR	CCDC131|PSRC2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	O60293	-	NP_659419	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1458469	16477	103	200872	106617	-	RP11-61L14.5	Junb	ADAR	-	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P09450	Q569U6	NP_032442	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Mus musculus	Homo sapiens
1458470	66489	103	211511	106617	RP23-244N6.4	RP11-61L14.5	Rpl35	ADAR	2410039E09Rik	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q6ZWV7	-	NP_079868	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Mus musculus	Homo sapiens
1458471	81910	103	219905	106617	RP23-77A2.2	RP11-61L14.5	Rrbp1	ADAR	1700087N07Rik|5730465C04Rik|ES/130|mKIAA1398|mRRp0|mRRp1.8|mRRp10|mRRp15a|mRRp15b|mRRp16.8|mRRp2|mRRp41|mRRp47|mRRp5.4|p180	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q99PL5	A2AVJ7|Q8CAB9	NP_077243|NP_598329	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Mus musculus	Homo sapiens
1458472	110809	103	225922	106617	RP23-199A2.2	RP11-61L14.5	Srsf1	ADAR	1110054N12Rik|5730507C05Rik|6330415C05Rik|AI482334|AW491331|Asf|Sf2|Sfrs1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q6PDM2	-	NP_775550|NP_001071635	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Mus musculus	Homo sapiens
1458473	230784	103	231026	106617	RP23-63D8.3	RP11-61L14.5	Sesn2	ADAR	HI95|SEST2|Ses2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P58043	-	NP_659156	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Mus musculus	Homo sapiens
1458474	233908	103	231475	106617	-	RP11-61L14.5	Fus	ADAR	D430004D17Rik|D930039C12Rik|Fus1|Tls	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P56959	Q8CFQ9|Q3USY4|Q564D0	NP_631888	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Mus musculus	Homo sapiens
1506503	3516	103	109736	106617	-	RP11-61L14.5	RBPJ	ADAR	AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|csl	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	Q06330	-	NP_005340|NP_976028|NP_976029|NP_056958	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1506685	3170	103	109412	106617	-	RP11-61L14.5	FOXA2	ADAR	HNF3B|TCF3B	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	Q9Y261	B0ZTD4	NP_710141|NP_068556	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1506694	3171	103	109413	106617	-	RP11-61L14.5	FOXA3	ADAR	FKHH3|HNF3G|TCF3G	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	P55318	A0A024R0R3	NP_004488	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1506755	27023	103	117960	106617	-	RP11-61L14.5	FOXB1	ADAR	FKH5|HFKH-5	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	Q99853	-	NP_036314	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1507443	2290	103	108580	106617	-	RP11-61L14.5	FOXG1	ADAR	BF1|BF2|FHKL3|FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C|HBF-1|HBF-2|HBF-3|HBF-G2|HBF2|HFK1|HFK2|HFK3|KHL2|QIN	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	P55316	-	NP_005240	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1507489	8928	103	114442	106617	-	RP11-61L14.5	FOXH1	ADAR	FAST-1|FAST1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	O75593	-	NP_003914	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1507548	399823	103	134424	106617	-	RP11-61L14.5	FOXI2	ADAR	-	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	Q6ZQN5	-	NP_997309	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1508919	1408	103	107798	106617	-	RP11-61L14.5	CRY2	ADAR	HCRY2|PHLL2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Papp SJ (2015)	PUBMED:25756610	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q49AN0	-	NP_066940|NP_001120929	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1509110	2300	103	108589	106617	-	RP11-61L14.5	FOXL1	ADAR	FKH6|FKHL11|FREAC7	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q12952	Q498Y4	NP_005241	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1510088	50943	103	119170	106617	JM2	RP11-61L14.5	FOXP3	ADAR	AIID|DIETER|IPEX|PIDX|XPID	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9BZS1	-	NP_001107849|NP_054728	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1510281	2307	103	108596	106617	-	RP11-61L14.5	FOXS1	ADAR	FKHL18|FREAC10	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	-	-	BIOGRID	O43638	-	NP_004109	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1516826	51320	103	119471	106617	BM-013	RP11-61L14.5	MEX3C	ADAR	MEX-3C|RKHD2|RNF194	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Cano F (2015)	PUBMED:26471122	9606	9606	High Throughput	-	-	Table S1	-	BIOGRID	Q5U5Q3	-	NP_057710	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2252176	84640	103	124165	106617	-	RP11-61L14.5	USP38	ADAR	HP43.8KD	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.947782036	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.947782036, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q8NB14	B3KSB9	NP_115946|NP_001277255|NP_001277254	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2360987	1355	103	107747	106617	-	RP11-61L14.5	COX15	ADAR	CEMCOX2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Malty RH (2017)	PUBMED:29128334	9606	9606	High Throughput	0.000196508	-	HEK293 cell line (FLAG TAGGED; AP/MS)|Normalized Spectral Abundance Factor (NSAF) scores were associated with each mitochondrial protein (MP) interaction. High confidence MP interactions were filtered at a confidence threshold of 90%.|SH-SY5Y cell line (Antibody; IP/MS)	-	BIOGRID	Q7KZN9	-	NP_001307903|NP_004367|NP_510870|NP_001307905|NP_001307904	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2362007	5160	103	111186	106617	RP11-723P2.1	RP11-61L14.5	PDHA1	ADAR	PDHA|PDHAD|PDHCE1A|PHE1A	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Malty RH (2017)	PUBMED:29128334	9606	9606	High Throughput	0.000292162	-	HEK293 cell line (FLAG TAGGED; AP/MS)|Normalized Spectral Abundance Factor (NSAF) scores were associated with each mitochondrial protein (MP) interaction. High confidence MP interactions were filtered at a confidence threshold of 90%.|SH-SY5Y cell line (Antibody; IP/MS)	-	BIOGRID	P08559	A0A024RBX9	NP_001166926|NP_001166927|NP_001166925|NP_000275	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2376531	3169	103	109411	106617	-	RP11-61L14.5	FOXA1	ADAR	HNF3A|TCF3A	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Jozwik KM (2016)	PUBMED:27926873	9606	9606	High Throughput	-	-	-	-	BIOGRID	P55317	-	NP_004487	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2379946	10146	103	115448	106617	-	RP11-61L14.5	G3BP1	ADAR	G3BP|HDH-VIII	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Jain S (2016)	PUBMED:26777405	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q13283	Q5U0Q1|Q6ZP53	NP_005745|NP_938405	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2381596	7319	103	113167	106617	-	RP11-61L14.5	UBE2A	ADAR	HHR6A|MRXS30|MRXSN|RAD6A|UBC2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	An H (2017)	PUBMED:28031328	9606	9606	High Throughput	-	-	Source of UBE2A not clear	-	BIOGRID	P49459	-	NP_861427|NP_001269090|NP_003327	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
